facility_index,facility_name,facility_state,is_federal,bill_name,bill_street_1,bill_street_2,bill_city_state_zip,bill_zip_code,ship_name,ship_street_1,ship_street_2,ship_city_state_zip,ship_zip_code,website
578,Issaquena County Correctional Facility,MS,0,Issaquena County Correctional Facility,Post Office Box 220,,"Mayersville, MS 39113",39113,Issaquena County Correctional Facility,Post Office Box 220,,"Mayersville, MS 39113",39113,https://www.prisonpro.com/content/issaquena-county-correctional-facility
579,Jefferson-Franklin County Correctional,MS,0,Jefferson-Franklin County Correctional,P.O. Box 218,,"Fayette, MS 39069",39069,Jefferson-Franklin County Correctional,P.O. Box 218,,"Fayette, MS 39069",39069,https://www.prisonpro.com/content/jefferson-franklin-county-correctional
580,Kemper Neshoba County Regional Correctional Facility,MS,0,Kemper Neshoba County Regional Correctional Facility,374 Stennis Industrial Park Road,,"DeKalb, MS 39328",39328,Kemper Neshoba County Regional Correctional Facility,374 Stennis Industrial Park Road,,"DeKalb, MS 39328",39328,https://www.prisonpro.com/content/kemper-neshoba-county-regional-correctional-facility
581,Leake County Correctional Facility,MS,0,Leake County Correctional Facility,399 C. O. Brooks Street,,"Carthage, MS 39051",39051,Leake County Correctional Facility,399 C. O. Brooks Street,,"Carthage, MS 39051",39051,https://www.prisonpro.com/content/leake-county-correctional-facility
582,Marion Walthall County Regional Correctional Facility,MS,0,Marion Walthall County Regional Correctional Facility,503 South Main Street,,"Columbia, MS 39429",39429,Marion Walthall County Regional Correctional Facility,503 South Main Street,,"Columbia, MS 39429",39429,https://www.prisonpro.com/content/marion-walthall-county-regional-correctional-facility
583,Marshall County Correctional Facility,MS,0,Marshall County Correctional Facility,Post Office Box 5188,,"Holly Springs, MS 38634-5188",38634,Marshall County Correctional Facility,Post Office Box 5188,,"Holly Springs, MS 38634-5188",38634,https://www.prisonpro.com/content/marshall-county-correctional-facility
584,Mississippi State Penitentiary,MS,0,Mississippi State Penitentiary,Post Office Box 1057,,"Parchman, MS 38738",38738,Mississippi State Penitentiary,Post Office Box 1057,,"Parchman, MS 38738",38738,https://www.prisonpro.com/content/mississippi-state-penitentiary
585,South Mississippi Correctional Institution,MS,0,South Mississippi Correctional Institution,Post Office Box 1419,,"Leakesville, MS 39451",39451,South Mississippi Correctional Institution,Post Office Box 1419,,"Leakesville, MS 39451",39451,https://www.prisonpro.com/content/south-mississippi-correctional-institution
586,Stone County Correctional Facility,MS,0,Stone County Correctional Facility,1420 Industrial Park Road,,"Wiggins, MS 39577",39577,Stone County Correctional Facility,1420 Industrial Park Road,,"Wiggins, MS 39577",39577,https://www.prisonpro.com/content/stone-county-correctional-facility
587,Walnut Grove Youth Correctional Facility,MS,0,Walnut Grove Youth Correctional Facility,Post Office Box 389,,"Walnut Grove, MS 39189",39189,Walnut Grove Youth Correctional Facility,Post Office Box 389,,"Walnut Grove, MS 39189",39189,https://www.prisonpro.com/content/walnut-grove-youth-correctional-facility
588,Washington County Regional Correctional Facility,MS,0,Washington County Regional Correctional Facility,60 Stokes King Rd,,"Greenville, MS 38701",38701,Washington County Regional Correctional Facility,60 Stokes King Rd,,"Greenville, MS 38701",38701,https://www.prisonpro.com/content/washington-county-regional-correctional-facility
589,Wilkinson County Correctional Center,MS,0,Wilkinson County Correctional Center,Post Office Box 1889,,"Woodville, MS 39669",39669,Wilkinson County Correctional Center,Post Office Box 1889,,"Woodville, MS 39669",39669,https://www.prisonpro.com/content/wilkinson-county-correctional-center
590,Winston Choctaw County Regional Correctional Facility,MS,0,Winston Choctaw County Regional Correctional Facility,P.O Drawer 1437,,"Louisville, MS 39339",39339,Winston Choctaw County Regional Correctional Facility,P.O Drawer 1437,,"Louisville, MS 39339",39339,https://www.prisonpro.com/content/winston-choctaw-county-regional-correctional-facility
591,Yazoo County Correctional Facility,MS,0,Yazoo County Correctional Facility,154 Roosevelt Hudson Drive,,"Yazoo City, MS 39194",39194,Yazoo County Correctional Facility,154 Roosevelt Hudson Drive,,"Yazoo City, MS 39194",39194,https://www.prisonpro.com/content/yazoo-county-correctional-facility
592,Algoa Correctional Center,MO,0,Algoa Correctional Center,8501 No More Victims Road,,"Jefferson City, MO 65101",65101,Algoa Correctional Center,8501 No More Victims Road,,"Jefferson City, MO 65101",65101,https://www.prisonpro.com/content/algoa-correctional-center
593,Boonville Correctional Center,MO,0,Boonville Correctional Center,1216 East Morgan Street,,"Boonville, MO 65233-1300",65233,Boonville Correctional Center,1216 East Morgan Street,,"Boonville, MO 65233-1300",65233,https://www.prisonpro.com/content/boonville-correctional-center
594,Chillicothe Correctional Center,MO,0,Chillicothe Correctional Center,3151 Litton Road,,"Chillicothe, MO 64601",64601,Chillicothe Correctional Center,3151 Litton Road,,"Chillicothe, MO 64601",64601,https://www.prisonpro.com/content/chillicothe-correctional-center
595,Crossroads Correctional Center,MO,0,Crossroads Correctional Center,1115 East Pence Road,,"Cameron, MO 64429",64429,Crossroads Correctional Center,1115 East Pence Road,,"Cameron, MO 64429",64429,https://www.prisonpro.com/content/crossroads-correctional-center
596,"Eastern Reception, Diagnostic and CC",MO,0,"Eastern Reception, Diagnostic and CC",2727 Highway K,,"Bonne Terre, MO 63628",63628,"Eastern Reception, Diagnostic and CC",2727 Highway K,,"Bonne Terre, MO 63628",63628,https://www.prisonpro.com/content/eastern-reception-diagnostic-correctional-center
597,Farmington Correctional Center,MO,0,Farmington Correctional Center,1012 West Columbia Street,,"Farmington, MO 63640",63640,Farmington Correctional Center,1012 West Columbia Street,,"Farmington, MO 63640",63640,https://www.prisonpro.com/content/farmington-correctional-center
598,Fulton Reception and Diagnostic Center,MO,0,Fulton Reception and Diagnostic Center,"P.O. Box 190, State Route O",,"Fulton, MO 65251",65251,Fulton Reception and Diagnostic Center,"P.O. Box 190, State Route O",,"Fulton, MO 65251",65251,https://www.prisonpro.com/content/fulton-reception-diagnostic-center
599,Jefferson City Correctional Center,MO,0,Jefferson City Correctional Center,8200 No More Victims Road,,"Jefferson City, MO 65101",65101,Jefferson City Correctional Center,8200 No More Victims Road,,"Jefferson City, MO 65101",65101,https://www.prisonpro.com/content/jefferson-city-correctional-center
600,Maryville Treatment Center,MO,0,Maryville Treatment Center,30227 US Highway 136,,"Maryville, MO 64468",64468,Maryville Treatment Center,30227 US Highway 136,,"Maryville, MO 64468",64468,https://www.prisonpro.com/content/maryville-treatment-center
601,Missouri Eastern Correctional Center,MO,0,Missouri Eastern Correctional Center,18701 US Highway 66,,"Pacific, MO 63069",63069,Missouri Eastern Correctional Center,18701 US Highway 66,,"Pacific, MO 63069",63069,https://www.prisonpro.com/content/missouri-eastern-correctional-center
602,Moberly Correctional Center,MO,0,Moberly Correctional Center,P.O. Box 7,,"Moberly, MO 65270",65270,Moberly Correctional Center,P.O. Box 7,,"Moberly, MO 65270",65270,https://www.prisonpro.com/content/moberly-correctional-center
603,Northeast Correctional Center,MO,0,Northeast Correctional Center,13698 Airport Road,,"Bowling Green, MO 63334",63334,Northeast Correctional Center,13698 Airport Road,,"Bowling Green, MO 63334",63334,https://www.prisonpro.com/content/northeast-correctional-center
604,Ozark Correctional Center,MO,0,Ozark Correctional Center,929 Honor Camp Lane,,"Fordland, MO 65652",65652,Ozark Correctional Center,929 Honor Camp Lane,,"Fordland, MO 65652",65652,https://www.prisonpro.com/content/ozark-correctional-center
605,Potosi Correctional Center,MO,0,Potosi Correctional Center,11593 State Highway O,,"Mineral Point, MO 63660",63660,Potosi Correctional Center,11593 State Highway O,,"Mineral Point, MO 63660",63660,https://www.prisonpro.com/content/potosi-correctional-center
606,South Central Correctional Center,MO,0,South Central Correctional Center,255 West Highway 32,,"Licking, MO 65542",65542,South Central Correctional Center,255 West Highway 32,,"Licking, MO 65542",65542,https://www.prisonpro.com/content/south-central-correctional-center
607,Southeast Correctional Center,MO,0,Southeast Correctional Center,300 East Pedro Simmons Drive,,"Charleston, MO 63834",63834,Southeast Correctional Center,300 East Pedro Simmons Drive,,"Charleston, MO 63834",63834,https://www.prisonpro.com/content/southeast-correctional-center
608,Tipton Correctional Center,MO,0,Tipton Correctional Center,619 North Osage Avenue,,"Tipton, MO 65081",65081,Tipton Correctional Center,619 North Osage Avenue,,"Tipton, MO 65081",65081,https://www.prisonpro.com/content/tipton-correctional-center
609,Western Missouri Correctional Center,MO,0,Western Missouri Correctional Center,609 East Pence Road,,"Cameron, MO 64429",64429,Western Missouri Correctional Center,609 East Pence Road,,"Cameron, MO 64429",64429,https://www.prisonpro.com/content/western-missouri-correctional-center
610,"Western Reception, Diagnostic and CC",MO,0,"Western Reception, Diagnostic and CC",3401 Faraon St.,,"St. Joseph, MO 64506",64506,"Western Reception, Diagnostic and CC",3401 Faraon St.,,"St. Joseph, MO 64506",64506,https://www.prisonpro.com/content/western-reception-diagnostic-correctional-center
611,"Women's Eastern Reception, Diagnostic and CC",MO,0,"Women's Eastern Reception, Diagnostic and CC",1101 East Highway 54,,"Vandalia, MO 63382",63382,"Women's Eastern Reception, Diagnostic and CC",1101 East Highway 54,,"Vandalia, MO 63382",63382,https://www.prisonpro.com/content/womens-eastern-reception-diagnostic-correctional-center
612,Alpha House Men's Pre-release Center,MT,0,Alpha House Men's Pre-release Center,3109 1st Avenue North,,"Billings, MT 59101",59101,Alpha House Men's Pre-release Center,3109 1st Avenue North,,"Billings, MT 59101",59101,https://www.prisonpro.com/content/alternatives-inc-pre-release-center
613,Passages Women's Center,MT,0,Passages Women's Center,1001 South 27th Street,,"Billings, MT 59101",59101,Passages Women's Center,1001 South 27th Street,,"Billings, MT 59101",59101,https://www.prisonpro.com/content/alternatives-inc-pre-release-center
614,Cascade County Regional Prison,MT,0,Cascade County Regional Prison,3800 Ulm North Frontage Road,,"Great Falls, MT 59404",59404,Cascade County Regional Prison,3800 Ulm North Frontage Road,,"Great Falls, MT 59404",59404,https://www.prisonpro.com/content/cascade-county-regional-prison
615,Crossroads Correctional Center,MT,0,Crossroads Correctional Center,50 Crossroads Drive,,"Shelby, MT 59474",59474,Crossroads Correctional Center,50 Crossroads Drive,,"Shelby, MT 59474",59474,https://www.prisonpro.com/content/crossroads-correctional-center-0
616,Dawson County Correctional Facility,MT,0,Dawson County Correctional Facility,440 Colorado Blvd,,"Glendive, MT 59330",59330,Dawson County Correctional Facility,440 Colorado Blvd,,"Glendive, MT 59330",59330,https://www.prisonpro.com/content/dawson-county-correctional-facility
617,Montana State Prison,MT,0,Montana State Prison,400 Conley Lake Road,,"Deer Lodge, MT 59722",59722,Montana State Prison,400 Conley Lake Road,,"Deer Lodge, MT 59722",59722,https://www.prisonpro.com/content/montana-state-prison
618,Montana Women's Prison,MT,0,Montana Women's Prison,701 S. 27th St.,,"Billings, MT 59101",59101,Montana Women's Prison,701 S. 27th St.,,"Billings, MT 59101",59101,https://www.prisonpro.com/content/montana-womens-prison
619,Pine Hills Youth Correctional Facility,MT,0,Pine Hills Youth Correctional Facility,4 North Haynes Ave.,,"Miles City, MT 59301",59301,Pine Hills Youth Correctional Facility,4 North Haynes Ave.,,"Miles City, MT 59301",59301,https://www.prisonpro.com/content/pine-hills-youth-correctional-facility
620,Riverside Youth Correctional Facility,MT,0,Riverside Youth Correctional Facility,P.O. BOX 88,,"Boulder, MT 59632-0088",59632,Riverside Youth Correctional Facility,P.O. BOX 88,,"Boulder, MT 59632-0088",59632,https://www.prisonpro.com/content/riverside-youth-correctional-facility
621,Community Corrections Center Lincoln,NE,0,Community Corrections Center Lincoln,P.O. Box 2200,,"Lincoln, NE 68542",68542,Community Corrections Center Lincoln,P.O. Box 2200,,"Lincoln, NE 68542",68542,https://www.prisonpro.com/content/community-corrections-center-lincoln
622,Community Corrections Center Omaha,NE,0,Community Corrections Center Omaha,2320 Avenue J,,"Omaha, NE 68110-2766",68110,Community Corrections Center Omaha,2320 Avenue J,,"Omaha, NE 68110-2766",68110,https://www.prisonpro.com/content/community-corrections-center-omaha
623,Diagnostic and Evaluation Center,NE,0,Diagnostic and Evaluation Center,PO Box 22800,,"Lincoln, NE 68542-2800",68542,Diagnostic and Evaluation Center,PO Box 22800,,"Lincoln, NE 68542-2800",68542,https://www.prisonpro.com/content/diagnostic-evaluation-center
624,Lincoln Correctional Center,NE,0,Lincoln Correctional Center,P.O. Box 22800,,"Lincoln, NE 68522",68522,Lincoln Correctional Center,P.O. Box 22800,,"Lincoln, NE 68522",68522,https://www.prisonpro.com/content/lincoln-correctional-center-nebraska
625,Nebraska Correctional Center for Women,NE,0,Nebraska Correctional Center for Women,1107 Recharge Rd,,"York, NE 68467-8003",68467,Nebraska Correctional Center for Women,1107 Recharge Rd,,"York, NE 68467-8003",68467,https://www.prisonpro.com/content/nebraska-correctional-center-women
626,Nebraska Correctional Youth Facility,NE,0,Nebraska Correctional Youth Facility,2610 N 20th St East,,"Omaha, NE 68110",68110,Nebraska Correctional Youth Facility,2610 N 20th St East,,"Omaha, NE 68110",68110,https://www.prisonpro.com/content/nebraska-correctional-youth-facility
627,Nebraska State Penitentiary,NE,0,Nebraska State Penitentiary,P.O. Box 2500,,"Lincoln, NE 68542-2500",68542,Nebraska State Penitentiary,P.O. Box 2500,,"Lincoln, NE 68542-2500",68542,https://www.prisonpro.com/content/nebraska-state-penitentiary
628,Omaha Correctional Center,NE,0,Omaha Correctional Center,P.O. Box 11099,,"Omaha, NE 68110-2766",68110,Omaha Correctional Center,P.O. Box 11099,,"Omaha, NE 68110-2766",68110,https://www.prisonpro.com/content/omaha-correctional-center
629,Tecumseh State Correctional Institution,NE,0,Tecumseh State Correctional Institution,PO Box 900,,"Tecumseh, NE 68450",68450,Tecumseh State Correctional Institution,PO Box 900,,"Tecumseh, NE 68450",68450,https://www.prisonpro.com/content/tecumseh-state-correctional-institution
630,Work Ethic Camp,NE,0,Work Ethic Camp,2309 N. Hwy 83,,"McCook, NE 69001",69001,Work Ethic Camp,2309 N. Hwy 83,,"McCook, NE 69001",69001,https://www.prisonpro.com/content/work-ethic-camp
631,Ely State Prison,NV,0,Ely State Prison,P.O. Box 1989,,"Ely, NV 89301",89301,Ely State Prison,P.O. Box 1989,,"Ely, NV 89301",89301,https://www.prisonpro.com/content/ely-state-prison
632,Florence McClure Women's Correctional Center,NV,0,Florence McClure Women's Correctional Center,4370 Smiley Road,,"Las Vegas, NV 89115-1808",89115,Florence McClure Women's Correctional Center,4370 Smiley Road,,"Las Vegas, NV 89115-1808",89115,https://www.prisonpro.com/content/florence-mcclure-womens-correctional-center
633,High Desert State Prison,NV,0,High Desert State Prison,P.O. Box 650,,"Indian Springs, NV 89070-0650",89070,High Desert State Prison,P.O. Box 650,,"Indian Springs, NV 89070-0650",89070,https://www.prisonpro.com/content/high-desert-state-prison
634,Lovelock Correctional Center,NV,0,Lovelock Correctional Center,1200 Prison Rd.,,"Lovelock, NV 89419",89419,Lovelock Correctional Center,1200 Prison Rd.,,"Lovelock, NV 89419",89419,https://www.prisonpro.com/content/lovelock-correctional-center
635,Northern Nevada Correctional Center,NV,0,Northern Nevada Correctional Center,P.O. Box 7000,,"Carson City, NV 89702",89702,Northern Nevada Correctional Center,P.O. Box 7000,,"Carson City, NV 89702",89702,https://www.prisonpro.com/content/northern-nevada-correctional-center
636,Southern Desert Correctional Center,NV,0,Southern Desert Correctional Center,P.O. Box 208,,"Indian Springs, NV 89070-0208",89070,Southern Desert Correctional Center,P.O. Box 208,,"Indian Springs, NV 89070-0208",89070,https://www.prisonpro.com/content/southern-desert-correctional-center
637,Warm Springs Correctional Center,NV,0,Warm Springs Correctional Center,P.O. Box 7007,,"Carson City, NV 89702",89702,Warm Springs Correctional Center,P.O. Box 7007,,"Carson City, NV 89702",89702,https://www.prisonpro.com/content/warm-springs-correctional-center
638,State Prison for Men,NH,0,State Prison for Men,P.O.Box 14,,"Concord, NH 03302",3302,State Prison for Men,P.O.Box 14,,"Concord, NH 03302",3302,https://www.prisonpro.com/content/state-prison-men
639,New Hampshire State Prison for Women,NH,0,New Hampshire State Prison for Women,317 Mast Road,,"Goffstown, NH 03045",3045,New Hampshire State Prison for Women,317 Mast Road,,"Goffstown, NH 03045",3045,https://www.prisonpro.com/content/new-hampshire-state-prison-women
640,Northern New Hampshire Correctional Facility,NH,0,Northern New Hampshire Correctional Facility,138 East Milan Road,,"Berlin, NH 03570",3570,Northern New Hampshire Correctional Facility,138 East Milan Road,,"Berlin, NH 03570",3570,https://www.prisonpro.com/content/northern-new-hampshire-correctional-facility
641,Adult Diagnostic and Treatment Center,NJ,0,Adult Diagnostic and Treatment Center,PO Box 190,,"Avenel, NJ 07001",7001,Adult Diagnostic and Treatment Center,PO Box 190,,"Avenel, NJ 07001",7001,https://www.prisonpro.com/content/adult-diagnostic-treatment-center
642,Atlantic County Justice Facility,NJ,0,Atlantic County Justice Facility,5060 Atlantic Ave.,,"Mays Landing, NJ 08330",8330,Atlantic County Justice Facility,5060 Atlantic Ave.,,"Mays Landing, NJ 08330",8330,https://www.prisonpro.com/content/new-jersey-prisons-jails/Atlantic-County-Jail
643,East Jersey State Prison,NJ,0,East Jersey State Prison,Lock Bag R,,"Rahway, NJ 07065",7065,East Jersey State Prison,Lock Bag R,,"Rahway, NJ 07065",7065,https://www.prisonpro.com/content/east-jersey-state-prison
644,Otero County Prison Facility,NM,0,Otero County Prison Facility,10 McGregor Range Road,,"Chaparral, NM 88081",88081,Otero County Prison Facility,10 McGregor Range Road,,"Chaparral, NM 88081",88081,https://www.prisonpro.com/content/otero-county-prison-facility
645,Western New Mexico Correctional Facility,NM,0,Western New Mexico Correctional Facility,P.O. Drawer 250,,"Grants, NM 87020",87020,Western New Mexico Correctional Facility,P.O. Drawer 250,,"Grants, NM 87020",87020,https://www.prisonpro.com/content/western-new-mexico-correctional-facility
646,Albemarle Correctional Institution,NC,0,Albemarle Correctional Institution,P.O. Box 460,,"Badin, NC 28009",28009,Albemarle Correctional Institution,P.O. Box 460,,"Badin, NC 28009",28009,https://www.prisonpro.com/content/albemarle-correctional-institution
647,Alexander Correctional Institution,NC,0,Alexander Correctional Institution,633 Old Landfill Road,,"Taylorsville, NC 28681",28681,Alexander Correctional Institution,633 Old Landfill Road,,"Taylorsville, NC 28681",28681,https://www.prisonpro.com/content/alexander-correctional-institution
648,Avery Mitchell Correctional Institution,NC,0,Avery Mitchell Correctional Institution,600 Amity Park Road,,"Spruce Pine, NC 28777",28777,Avery Mitchell Correctional Institution,600 Amity Park Road,,"Spruce Pine, NC 28777",28777,https://www.prisonpro.com/content/avery-mitchell-correctional-institution
649,Bertie Correctional Institution,NC,0,Bertie Correctional Institution,P.O. Box 129,,"Windsor, NC 27983",27983,Bertie Correctional Institution,P.O. Box 129,,"Windsor, NC 27983",27983,https://www.prisonpro.com/content/bertie-correctional-institution
650,Brown Creek Correctional Institution,NC,0,Brown Creek Correctional Institution,P.O. Box 310,,"Polkton, NC 28135",28135,Brown Creek Correctional Institution,P.O. Box 310,,"Polkton, NC 28135",28135,https://www.prisonpro.com/content/brown-creek-correctional-institution
651,Caldwell Correctional Center,NC,0,Caldwell Correctional Center,480 Pleasant Hill Road,,"Lenoir, NC 28645",28645,Caldwell Correctional Center,480 Pleasant Hill Road,,"Lenoir, NC 28645",28645,https://www.prisonpro.com/content/caldwell-correctional-center
652,Caledonia Correctional Institution,NC,0,Caledonia Correctional Institution,Box 137,,"Tillery, NC 27887",27887,Caledonia Correctional Institution,Box 137,,"Tillery, NC 27887",27887,https://www.prisonpro.com/content/caledonia-correctional-institution
653,Carteret Correctional Center,NC,0,Carteret Correctional Center,P.O. Box 220,,"Newport, NC 28570",28570,Carteret Correctional Center,P.O. Box 220,,"Newport, NC 28570",28570,https://www.prisonpro.com/content/carteret-correctional-center
654,Caswell Correctional Center,NC,0,Caswell Correctional Center,Box 217,,"Yanceyville, NC 27379",27379,Caswell Correctional Center,Box 217,,"Yanceyville, NC 27379",27379,https://www.prisonpro.com/content/caswell-correctional-center
655,Catawba Correctional Center,NC,0,Catawba Correctional Center,1347 Prison Camp Road,,"Newton, NC 28658",28658,Catawba Correctional Center,1347 Prison Camp Road,,"Newton, NC 28658",28658,https://www.prisonpro.com/content/catawba-correctional-center
656,Central Prison,NC,0,Central Prison,1300 Western Blvd.,,"Raleigh, NC 27606",27606,Central Prison,1300 Western Blvd.,,"Raleigh, NC 27606",27606,https://www.prisonpro.com/content/central-prison-north-carolina
657,Columbus Correctional Institution,NC,0,Columbus Correctional Institution,1255 Prison Camp Road,,"Whiteville, NC 28472",28472,Columbus Correctional Institution,1255 Prison Camp Road,,"Whiteville, NC 28472",28472,https://www.prisonpro.com/content/columbus-correctional-institution
658,Craggy Correctional Center,NC,0,Craggy Correctional Center,Box 8909,,"Asheville, NC 28814",28814,Craggy Correctional Center,Box 8909,,"Asheville, NC 28814",28814,https://www.prisonpro.com/content/craggy-correctional-center
659,Craven Correctional Institution,NC,0,Craven Correctional Institution,P.O. Box 839,,"Vanceboro, NC 28586",28586,Craven Correctional Institution,P.O. Box 839,,"Vanceboro, NC 28586",28586,https://www.prisonpro.com/content/craven-correctional-institution
660,Dan River Prison Work Farm,NC,0,Dan River Prison Work Farm,981 Murray Road,,"Blanch, NC 27212",27212,Dan River Prison Work Farm,981 Murray Road,,"Blanch, NC 27212",27212,https://www.prisonpro.com/content/dan-river-prison-work-farm
661,Davidson Correctional Center,NC,0,Davidson Correctional Center,P.O. Box 1977,,"Lexington, NC 27293-1977",27293,Davidson Correctional Center,P.O. Box 1977,,"Lexington, NC 27293-1977",27293,https://www.prisonpro.com/content/davidson-correctional-center
662,Eastern Correctional Institution,NC,0,Eastern Correctional Institution,Box 215,,"Maury, NC 28554",28554,Eastern Correctional Institution,Box 215,,"Maury, NC 28554",28554,https://www.prisonpro.com/content/eastern-correctional-institution
663,Foothills Correctional Institution,NC,0,Foothills Correctional Institution,5150 Western Avenue,,"Morganton, NC 28655",28655,Foothills Correctional Institution,5150 Western Avenue,,"Morganton, NC 28655",28655,https://www.prisonpro.com/content/foothills-correctional-institution
664,Forsyth Correctional Center,NC,0,Forsyth Correctional Center,307 Craft Drive,,"Winston-Salem, NC 27105",27105,Forsyth Correctional Center,307 Craft Drive,,"Winston-Salem, NC 27105",27105,https://www.prisonpro.com/content/forsyth-correctional-center
665,Franklin Correctional Center,NC,0,Franklin Correctional Center,Box 155,,"Bunn, NC 27508",27508,Franklin Correctional Center,Box 155,,"Bunn, NC 27508",27508,https://www.prisonpro.com/content/franklin-correctional-center
666,Gaston Correctional Center,NC,0,Gaston Correctional Center,520 Justice Court,,"Dallas, NC 28034",28034,Gaston Correctional Center,520 Justice Court,,"Dallas, NC 28034",28034,https://www.prisonpro.com/content/gaston-correctional-center
667,Greene Correctional Institution,NC,0,Greene Correctional Institution,P.O. Box 39,,"Maury, NC 28554",28554,Greene Correctional Institution,P.O. Box 39,,"Maury, NC 28554",28554,https://www.prisonpro.com/content/greene-correctional-institution
668,Harnett Correctional Institution,NC,0,Harnett Correctional Institution,Box 1569,,"Lillington, NC 27546",27546,Harnett Correctional Institution,Box 1569,,"Lillington, NC 27546",27546,https://www.prisonpro.com/content/harnett-correctional-institution
669,Hoke Correctional Institution,NC,0,Hoke Correctional Institution,243 Old Hwy 211,,"Raeford, NC 28376",28376,Hoke Correctional Institution,243 Old Hwy 211,,"Raeford, NC 28376",28376,https://www.prisonpro.com/content/hoke-correctional-institution
670,Hyde Correctional Institution,NC,0,Hyde Correctional Institution,P.O. Box 278,,"Swan Quarter, NC 27885",27885,Hyde Correctional Institution,P.O. Box 278,,"Swan Quarter, NC 27885",27885,https://www.prisonpro.com/content/hyde-correctional-institution
671,Johnston Correctional Institution,NC,0,Johnston Correctional Institution,2465 US 70 West,,"Smithfield, NC 27577",27577,Johnston Correctional Institution,2465 US 70 West,,"Smithfield, NC 27577",27577,https://www.prisonpro.com/content/johnston-correctional-institution
672,Lanesboro Correctional Institution,NC,0,Lanesboro Correctional Institution,PO Box 280,,"Polkton, NC 28135",28135,Lanesboro Correctional Institution,PO Box 280,,"Polkton, NC 28135",28135,https://www.prisonpro.com/content/lanesboro-correctional-institution
673,Lincoln Correctional Center,NC,0,Lincoln Correctional Center,464 Roper Drive,,"Lincolnton, NC 28092",28092,Lincoln Correctional Center,464 Roper Drive,,"Lincolnton, NC 28092",28092,https://www.prisonpro.com/content/lincoln-correctional-center-north-carolina
674,Lumberton Correctional Institution,NC,0,Lumberton Correctional Institution,P.O. Box 1649,,"Lumberton, NC 28359-1649",28359,Lumberton Correctional Institution,P.O. Box 1649,,"Lumberton, NC 28359-1649",28359,https://www.prisonpro.com/content/lumberton-correctional-institution
675,Marion Correctional Institution,NC,0,Marion Correctional Institution,Box 2405,,"Marion, NC 28752",28752,Marion Correctional Institution,Box 2405,,"Marion, NC 28752",28752,https://www.prisonpro.com/content/marion-correctional-institution-north-carolina
676,Maury Correctional Institution,NC,0,Maury Correctional Institution,P.O. Box 506,,"Maury, NC 28554",28554,Maury Correctional Institution,P.O. Box 506,,"Maury, NC 28554",28554,https://www.prisonpro.com/content/maury-correctional-institution
677,Morrison Correctional Institution,NC,0,Morrison Correctional Institution,Box 169,,"Hoffman, NC 28347",28347,Morrison Correctional Institution,Box 169,,"Hoffman, NC 28347",28347,https://www.prisonpro.com/content/morrison-correctional-institution
678,Mountain View Correctional Institution,NC,0,Mountain View Correctional Institution,545 Amity Park Road,,"Spruce Pine, NC 28777",28777,Mountain View Correctional Institution,545 Amity Park Road,,"Spruce Pine, NC 28777",28777,https://www.prisonpro.com/content/mountain-view-correctional-institution
679,Nash Correctional Institution,NC,0,Nash Correctional Institution,PO Box 600,,"Nashville, NC 27856",27856,Nash Correctional Institution,PO Box 600,,"Nashville, NC 27856",27856,https://www.prisonpro.com/content/nash-correctional-institution
680,Neuse Correctional Institution,NC,0,Neuse Correctional Institution,P.O. Box 2087,,"Goldsboro, NC 27533-2087",27533,Neuse Correctional Institution,P.O. Box 2087,,"Goldsboro, NC 27533-2087",27533,https://www.prisonpro.com/content/neuse-correctional-institution
681,New Hanover Correctional Center,NC,0,New Hanover Correctional Center,Box 240,,"Wilmington, NC 28402",28402,New Hanover Correctional Center,Box 240,,"Wilmington, NC 28402",28402,https://www.prisonpro.com/content/new-hanover-correctional-center
682,North Carolina Correctional Institution for Women,NC,0,North Carolina Correctional Institution for Women,4287 Mail Service Center,,"Raleigh, NC 27699-4287",27699,North Carolina Correctional Institution for Women,4287 Mail Service Center,,"Raleigh, NC 27699-4287",27699,https://www.prisonpro.com/content/north-carolina-correctional-institution-women
683,Odom Correctional Institution,NC,0,Odom Correctional Institution,Post Office Box 36,,"Jackson, NC 27845-0036",27845,Odom Correctional Institution,Post Office Box 36,,"Jackson, NC 27845-0036",27845,https://www.prisonpro.com/content/odom-correctional-institution
684,Orange Correctional Center,NC,0,Orange Correctional Center,PO Box 1149,,"Hillsborough, NC 27278",27278,Orange Correctional Center,PO Box 1149,,"Hillsborough, NC 27278",27278,https://www.prisonpro.com/content/orange-correctional-center
685,Pamlico Correctional Institution,NC,0,Pamlico Correctional Institution,601 North Third Street,,"Bayboro, NC 28515",28515,Pamlico Correctional Institution,601 North Third Street,,"Bayboro, NC 28515",28515,https://www.prisonpro.com/content/pamlico-correctional-institution
686,Pasquotank Correctional Institution,NC,0,Pasquotank Correctional Institution,527 Commerce Drive,,"Elizabeth City, NC 27906",27906,Pasquotank Correctional Institution,527 Commerce Drive,,"Elizabeth City, NC 27906",27906,https://www.prisonpro.com/content/pasquotank-correctional-institution
687,Pender Correctional Institution,NC,0,Pender Correctional Institution,Box 1058,,"Burgaw, NC 28425",28425,Pender Correctional Institution,Box 1058,,"Burgaw, NC 28425",28425,https://www.prisonpro.com/content/pender-correctional-institution
