facility_index,facility_name,facility_state,is_federal,bill_name,bill_street_1,bill_street_2,bill_city_state_zip,bill_zip_code,ship_name,ship_street_1,ship_street_2,ship_city_state_zip,ship_zip_code,website
1004,Powhatan Reception Center,VA,0,Powhatan Reception Center,3600 Woods Way,,"State Farm, VA 23160",23160,Powhatan Reception Center,3600 Woods Way,,"State Farm, VA 23160",23160,https://www.prisonpro.com/content/powhatan-reception-center
1005,Red Onion State Prison,VA,0,Red Onion State Prison,P.O. Box 970,,"Pound, VA 24279",24279,Red Onion State Prison,P.O. Box 970,,"Pound, VA 24279",24279,https://www.prisonpro.com/content/red-onion-state-prison
1006,River North Correctional Center,VA,0,River North Correctional Center,329 Dell Brook Lane,,"Independence, VA 24348",24348,River North Correctional Center,329 Dell Brook Lane,,"Independence, VA 24348",24348,https://www.prisonpro.com/content/river-north-correctional-center
1007,Rustburg Correctional Unit,VA,0,Rustburg Correctional Unit,479 Camp Nine Road,,"Rustburg, VA 24588",24588,Rustburg Correctional Unit,479 Camp Nine Road,,"Rustburg, VA 24588",24588,https://www.prisonpro.com/content/rustburg-correctional-unit
1008,St. Brides Correctional Center,VA,0,St. Brides Correctional Center,P.O. Box 16482,,"Chesapeake, VA 23328-6482",23328,St. Brides Correctional Center,P.O. Box 16482,,"Chesapeake, VA 23328-6482",23328,https://www.prisonpro.com/content/st-brides-correctional-center
1009,Sussex I State Prison,VA,0,Sussex I State Prison,24414 Musselwhite Drive,,"Waverly, VA 23891-1111",23891,Sussex I State Prison,24414 Musselwhite Drive,,"Waverly, VA 23891-1111",23891,https://www.prisonpro.com/content/sussex-i-state-prison
1010,Sussex II State Prison,VA,0,Sussex II State Prison,24427 Musselwhite Drive,,"Waverly, VA 23891-2222",23891,Sussex II State Prison,24427 Musselwhite Drive,,"Waverly, VA 23891-2222",23891,https://www.prisonpro.com/content/sussex-ii-state-prison
1011,Virginia Correctional Center for Women,VA,0,Virginia Correctional Center for Women,P.O. Box 1,,"Goochland, VA 23063",23063,Virginia Correctional Center for Women,P.O. Box 1,,"Goochland, VA 23063",23063,https://www.prisonpro.com/content/virginia-correctional-center-women
1012,Wallens Ridge State Prison,VA,0,Wallens Ridge State Prison,P.O. Box 759,,"Big Stone Gap, VA 24219",24219,Wallens Ridge State Prison,P.O. Box 759,,"Big Stone Gap, VA 24219",24219,https://www.prisonpro.com/content/wallens-ridge-state-prison
1013,Wise Correctional Unit,VA,0,Wise Correctional Unit,P.O. Box 1198,,"Coeburn, VA 24230-1198",24230,Wise Correctional Unit,P.O. Box 1198,,"Coeburn, VA 24230-1198",24230,https://www.prisonpro.com/content/wise-correctional-unit
1014,Airway Heights Corrections Center,WA,0,Airway Heights Corrections Center,P.O. Box 1899,,"Airway Heights, WA 99001-1899",99001,Airway Heights Corrections Center,P.O. Box 1899,,"Airway Heights, WA 99001-1899",99001,https://www.prisonpro.com/content/airway-heights-corrections-center
1015,Cedar Creek Corrections Center,WA,0,Cedar Creek Corrections Center,P.O. Box 37,,"Littlerock, WA 98556-0037",98556,Cedar Creek Corrections Center,P.O. Box 37,,"Littlerock, WA 98556-0037",98556,https://www.prisonpro.com/content/cedar-creek-corrections-center
1016,Clallam Bay Corrections Center,WA,0,Clallam Bay Corrections Center,1830 Eagle Crest Way,,"Clallam Bay, WA 98326",98326,Clallam Bay Corrections Center,1830 Eagle Crest Way,,"Clallam Bay, WA 98326",98326,https://www.prisonpro.com/content/clallam-bay-corrections-center
1017,Coyote Ridge Corrections Center,WA,0,Coyote Ridge Corrections Center,P.O. Box 769,,"Connell, WA 99326",99326,Coyote Ridge Corrections Center,P.O. Box 769,,"Connell, WA 99326",99326,https://www.prisonpro.com/content/coyote-ridge-corrections-center
1018,Larch Corrections Center,WA,0,Larch Corrections Center,15314 NE Dole Valley Road,,"Yacolt, WA 98675-9531",98675,Larch Corrections Center,15314 NE Dole Valley Road,,"Yacolt, WA 98675-9531",98675,https://www.prisonpro.com/content/larch-corrections-center
